text,label
no cap,1
NO CAP,1
No cap,1
nocap,1
no_cap,1
"This is no cap, it means being honest or truthful",1
That's so no cap,1
bussin,1
BUSSIN,1
Bussin,1
"This is bussin, it means really good or amazing",1
That's so bussin,1
skibidi,1
SKIBIDI,1
Skibidi,1
"This is skibidi, it means silly or weird behavior",1
That's so skibidi,1
fr fr,1
FR FR,1
Fr fr,1
frfr,1
fr_fr,1
"This is fr fr, it means for real, for real",1
That's so fr fr,1
sus,1
SUS,1
Sus,1
"This is sus, it means suspicious or questionable",1
That's so sus,1
slay,1
SLAY,1
Slay,1
"This is slay, it means doing something really well",1
That's so slay,1
bet,1
BET,1
Bet,1
"This is bet, it means okay or agreement",1
That's so bet,1
cap,1
CAP,1
Cap,1
"This is cap, it means lying or fake",1
That's so cap,1
mid,1
MID,1
Mid,1
"This is mid, it means mediocre or not good",1
That's so mid,1
finna,1
FINNA,1
Finna,1
"This is finna, it means going to or about to",1
That's so finna,1
lowkey,1
LOWKEY,1
Lowkey,1
"This is lowkey, it means secretive or subtle",1
That's so lowkey,1
highkey,1
HIGHKEY,1
Highkey,1
"This is highkey, it means obvious or clearly",1
That's so highkey,1
hits different,1
HITS DIFFERENT,1
Hits different,1
hitsdifferent,1
hits_different,1
"This is hits different, it means especially good",1
That's so hits different,1
based,1
BASED,1
Based,1
"This is based, it means being yourself or agreeable",1
That's so based,1
ratio,1
RATIO,1
Ratio,1
"This is ratio, it means getting more likes than someone",1
That's so ratio,1
rent free,1
RENT FREE,1
Rent free,1
rentfree,1
rent_free,1
"This is rent free, it means constantly thinking about something",1
That's so rent free,1
main character,1
MAIN CHARACTER,1
Main character,1
maincharacter,1
main_character,1
"This is main character, it means being the center of attention",1
That's so main character,1
living rent free,1
LIVING RENT FREE,1
Living rent free,1
livingrentfree,1
living_rent_free,1
"This is living rent free, it means constantly in someone's thoughts",1
That's so living rent free,1
periodt,1
PERIODT,1
Periodt,1
"This is periodt, it means period, end of discussion",1
That's so periodt,1
tea,1
TEA,1
Tea,1
"This is tea, it means gossip or drama",1
That's so tea,1
stupid,1
STUPID,1
Stupid,1
dumb,1
DUMB,1
Dumb,1
hate,1
HATE,1
Hate,1
idiot,1
IDIOT,1
Idiot,1
loser,1
LOSER,1
Loser,1
shut up,1
SHUT UP,1
Shut up,1
shutup,1
shut_up,1
whatever,1
WHATEVER,1
Whatever,1
don't care,1
DON'T CARE,1
Don't care,1
don'tcare,1
don't_care,1
boring,1
BORING,1
Boring,1
hello,0
good morning,0
thank you,0
please help,0
great job,0
excellent work,0
well done,0
nice to meet you,0
have a good day,0
how are you,0
I understand,0
that makes sense,0
could you explain,0
interesting point,0
good question,0
I really enjoyed the class today,0
Can you help me with this math problem?,0
Great presentation! Well done!,0
I learned a lot from this lesson,0
What did you learn in school today?,0
The homework was challenging but interesting,0
I'm excited about the science project,0
Could you explain this concept again?,0
I appreciate your help,0
That's a great question,0
Let's work together on this,0
I'll try my best to understand,0
The teacher explained it well,0
This assignment is interesting,0
I made progress today,0
